building,room,purpose
Main,215,Language Learning Center
Main,407,Office
Main,111,Religion Classroom
Sampson Hoffland,122,Entomology Lab
Sampson Hoffland,342,Chemistry Lab
Sampson Hoffland,390,Office
Campus House,101,Office
Olin,112,Computer Science Classroom
Olin,315,Office
Olin,202,Classroom Computer Lab
Koren,301,Office
Valders,104,Nursing Seminar Room
Valders,120,Office
Valders,206,Lecture Hall
Regents Center,200,West Gym
Regents Center,108,Office
Jenson-Noble,194,Office
Jenson-Noble,123,Music Classroom
Ockham House,106,Office
Center for the Arts,118,Classroom Computer Lab
Center for the Arts,119,2D Design Lab
Center for the Arts,101,Office
Preus Library,204,Hovde Room
Preus Library,101,Digital Media Center
Preus Library,301,Office
